weight_kg,zone_1_eur,zone_2_eur,zone_3_eur,zone_4_eur,zone_5_eur,zone_6_eur,zone_7_eur,zone_8_eur,zone_9_eur,zone_10_eur,zone_11_eur
0.5,37.91,45.8,60.18,52.09,56.76,59.26,82.96,111.64,120.26,137.03,145.97
1.0,40.19,49.14,63.94,56.72,61.9,65.52,89.8,119.05,128.32,147.85,160.58
1.5,42.76,52.76,67.94,61.61,67.41,72.15,97.1,126.8,136.39,158.67,175.78
2.0,45.33,56.38,71.94,66.5,72.92,78.78,104.4,134.55,144.46,169.49,190.98
2.5,47.28,59.53,75.27,70.41,77.55,85.4,111.22,141.57,151.76,180.3,206.18
3.0,49.93,63.87,78.43,74.53,83.6,91.54,119.17,149.93,160.58,192.16,222.2
3.5,52.58,68.21,81.59,78.65,89.65,97.68,127.12,158.29,169.4,204.02,238.22
4.0,55.23,72.55,84.75,82.77,95.7,103.82,135.07,166.65,178.22,215.88,254.24
4.5,57.88,76.89,87.91,86.89,101.75,109.96,143.02,175.01,187.04,227.74,270.26
5.0,60.53,81.23,91.07,91.01,107.8,116.1,150.97,183.37,195.86,239.6,286.28
5.5,61.0,82.2,93.78,94.29,113.3,121.74,158.14,190.68,204.22,251.28,301.07
6.0,61.47,83.17,96.49,97.57,118.8,127.38,165.31,197.99,212.58,262.96,315.86
6.5,61.94,84.14,99.2,100.85,124.3,133.02,172.48,205.3,220.94,274.64,330.65
7.0,62.41,85.11,101.91,104.13,129.8,138.66,179.65,212.61,229.3,286.32,345.44
7.5,62.88,86.08,104.62,107.41,135.3,144.3,186.82,219.92,237.66,298.0,360.23
8.0,63.35,87.05,107.33,110.69,140.8,149.94,193.99,227.23,246.02,309.68,375.02
8.5,63.82,88.02,110.04,113.97,146.3,155.58,201.16,234.54,254.38,321.36,389.81
9.0,64.29,88.99,112.75,117.25,151.8,161.22,208.33,241.85,262.74,333.04,404.6
9.5,64.76,89.96,115.46,120.53,157.3,166.86,215.5,249.16,271.1,344.72,419.39
10.0,65.23,90.93,118.17,123.81,162.8,172.5,222.67,256.47,279.46,356.4,434.18
10.5,66.06,91.94,119.55,125.26,164.5,174.26,224.53,257.95,286.6,365.31,445.75
11.0,66.89,92.95,120.93,126.71,166.2,176.02,226.39,259.43,293.74,374.22,457.32
11.5,67.72,93.96,122.31,128.16,167.9,177.78,228.25,260.91,300.88,383.13,468.89
12.0,68.55,94.97,123.69,129.61,169.6,179.54,230.11,262.39,308.02,392.04,480.46
12.5,69.38,95.98,125.07,131.06,171.3,181.3,231.97,263.87,315.16,400.95,492.03
13.0,70.21,96.99,126.45,132.51,173.0,183.06,233.83,265.35,322.3,409.86,503.6
13.5,71.04,98.0,127.83,133.96,174.7,184.82,235.69,266.83,329.44,418.77,515.17
14.0,71.87,99.01,129.21,135.41,176.4,186.58,237.55,268.31,336.58,427.68,526.74
14.5,72.7,100.02,130.59,136.86,178.1,188.34,239.41,269.79,343.72,436.59,538.31
15.0,73.53,101.03,131.97,138.31,179.8,190.1,241.27,271.27,350.86,445.5,549.88
15.5,74.36,102.04,133.35,139.76,181.5,191.86,243.13,272.75,358.0,454.41,561.45
16.0,75.19,103.05,134.73,141.21,183.2,193.62,244.99,274.23,365.14,463.32,573.02
16.5,76.02,104.06,136.11,142.66,184.9,195.38,246.85,275.71,372.28,472.23,584.59
17.0,76.85,105.07,137.49,144.11,186.6,197.14,248.71,277.19,379.42,481.14,596.16
17.5,77.68,106.08,138.87,145.56,188.3,198.9,250.57,278.67,386.56,490.05,607.73
18.0,78.51,107.09,140.25,147.01,190.0,200.66,252.43,280.15,393.7,498.96,619.3
18.5,79.34,108.1,141.63,148.46,191.7,202.42,254.29,281.63,400.84,507.87,630.87
19.0,80.17,109.11,143.01,149.91,193.4,204.18,256.15,283.11,407.98,516.78,642.44
19.5,81.0,110.12,144.39,151.36,195.1,205.94,258.01,284.59,415.12,525.69,654.01
20.0,81.83,111.13,145.77,152.81,196.8,207.7,259.87,286.07,422.26,534.6,665.58
20.5,82.92,113.08,148.4,155.52,200.23,211.53,263.95,290.59,428.56,547.8,680.84
21.0,84.01,115.03,151.03,158.23,203.66,215.36,268.03,295.11,434.86,561.0,696.1
21.5,85.1,116.98,153.66,160.94,207.09,219.19,272.11,299.63,441.16,574.2,711.36
22.0,86.19,118.93,156.29,163.65,210.52,223.02,276.19,304.15,447.46,587.4,726.62
22.5,87.28,120.88,158.92,166.36,213.95,226.85,280.27,308.67,453.76,600.6,741.88
23.0,88.37,122.83,161.55,169.07,217.38,230.68,284.35,313.19,460.06,613.8,757.14
23.5,89.46,124.78,164.18,171.78,220.81,234.51,288.43,317.71,466.36,627.0,772.4
24.0,90.55,126.73,166.81,174.49,224.24,238.34,292.51,322.23,472.66,640.2,787.66
24.5,91.64,128.68,169.44,177.2,227.67,242.17,296.59,326.75,478.96,653.4,802.92
25.0,92.73,130.63,172.07,179.91,231.1,246.0,300.67,331.27,485.26,666.6,818.18
25.5,93.82,132.58,174.7,182.62,234.53,249.83,304.75,335.79,491.56,679.8,833.44
26.0,94.91,134.53,177.33,185.33,237.96,253.66,308.83,340.31,497.86,693.0,848.7
26.5,96.0,136.48,179.96,188.04,241.39,257.49,312.91,344.83,504.16,706.2,863.96
27.0,97.09,138.43,182.59,190.75,244.82,261.32,316.99,349.35,510.46,719.4,879.22
27.5,98.18,140.38,185.22,193.46,248.25,265.15,321.07,353.87,516.76,732.6,894.48
28.0,99.27,142.33,187.85,196.17,251.68,268.98,325.15,358.39,523.06,745.8,909.74
28.5,100.36,144.28,190.48,198.88,255.11,272.81,329.23,362.91,529.36,759.0,925.0
29.0,101.45,146.23,193.11,201.59,258.54,276.64,333.31,367.43,535.66,772.2,940.26
29.5,102.54,148.18,195.74,204.3,261.97,280.47,337.39,371.95,541.96,785.4,955.52
30.0,103.63,150.13,198.37,207.01,265.4,284.3,341.47,376.47,548.26,798.6,970.78
30.5,106.73,155.12,205.29,213.34,272.81,291.83,350.51,389.14,564.79,819.0,992.06
31.0,106.73,155.12,205.29,213.34,272.81,291.83,350.51,389.14,564.79,819.0,992.06
31.5,109.83,160.11,212.21,219.67,280.22,299.36,359.55,401.81,581.32,839.4,1013.34
32.0,109.83,160.11,212.21,219.67,280.22,299.36,359.55,401.81,581.32,839.4,1013.34
32.5,112.93,165.1,219.13,226.0,287.63,306.89,368.59,414.48,597.85,859.8,1034.62
33.0,112.93,165.1,219.13,226.0,287.63,306.89,368.59,414.48,597.85,859.8,1034.62
33.5,116.03,170.09,226.05,232.33,295.04,314.42,377.63,427.15,614.38,880.2,1055.9
34.0,116.03,170.09,226.05,232.33,295.04,314.42,377.63,427.15,614.38,880.2,1055.9
34.5,119.13,175.08,232.97,238.66,302.45,321.95,386.67,439.82,630.91,900.6,1077.18
35.0,119.13,175.08,232.97,238.66,302.45,321.95,386.67,439.82,630.91,900.6,1077.18
35.5,122.23,180.07,239.89,244.99,309.86,329.48,395.71,452.49,647.44,921.0,1098.46
36.0,122.23,180.07,239.89,244.99,309.86,329.48,395.71,452.49,647.44,921.0,1098.46
36.5,125.33,185.06,246.81,251.32,317.27,337.01,404.75,465.16,663.97,941.4,1119.74
37.0,125.33,185.06,246.81,251.32,317.27,337.01,404.75,465.16,663.97,941.4,1119.74
37.5,128.43,190.05,253.73,257.65,324.68,344.54,413.79,477.83,680.5,961.8,1141.02
38.0,128.43,190.05,253.73,257.65,324.68,344.54,413.79,477.83,680.5,961.8,1141.02
38.5,131.53,195.04,260.65,263.98,332.09,352.07,422.83,490.5,697.03,982.2,1162.3
39.0,131.53,195.04,260.65,263.98,332.09,352.07,422.83,490.5,697.03,982.2,1162.3
39.5,134.63,200.03,267.57,270.31,339.5,359.6,431.87,503.17,713.56,1002.6,1183.58
40.0,134.63,200.03,267.57,270.31,339.5,359.6,431.87,503.17,713.56,1002.6,1183.58
40.5,137.73,205.02,274.49,276.64,346.91,367.13,440.91,515.84,730.09,1023.0,1204.86
41.0,137.73,205.02,274.49,276.64,346.91,367.13,440.91,515.84,730.09,1023.0,1204.86
41.5,140.83,210.01,281.41,282.97,354.32,374.66,449.95,528.51,746.62,1043.4,1226.14
42.0,140.83,210.01,281.41,282.97,354.32,374.66,449.95,528.51,746.62,1043.4,1226.14
42.5,143.93,215.0,288.33,289.3,361.73,382.19,458.99,541.18,763.15,1063.8,1247.42
43.0,143.93,215.0,288.33,289.3,361.73,382.19,458.99,541.18,763.15,1063.8,1247.42
43.5,147.03,219.99,295.25,295.63,369.14,389.72,468.03,553.85,779.68,1084.2,1268.7
