weight_lb,shipment_type,zone_A,zone_B,zone_C,zone_D,zone_E,zone_F,zone_G,zone_H,zone_I,zone_J,zone_K,zone_L,zone_M,zone_N
0.6,document_only,61.4,70.19,83.52,89.43,179.88,84.57,95.49,86.49,107.37,203.32,72.63,141.79,110.18,214.68
1.0,document_only,99.2,85.35,118.54,126.47,201.91,111.73,120.19,111.83,138.97,210.14,95.21,155.55,137.45,225.64
2.0,document_only,105.45,90.46,123.71,129.01,237.82,119.81,129.02,120.02,150.02,241.88,105.71,203.4,147.87,273.05
3.0,document_only,129.08,123.59,168.26,193.21,296.39,176.95,187.48,184.04,204.2,271.07,143.15,257.91,204.3,331.11
4.0,document_only,141.91,136.11,212.64,226.25,351.55,215.77,206.42,210.21,232.65,316.84,174.22,308.0,244.69,386.97
1.0,nondoc_or_doc_5lb_plus,117.5,119.46,148.69,175.68,250.87,141.54,149.86,140.49,162.38,263.28,141.33,197.47,165.72,270.0
2.0,nondoc_or_doc_5lb_plus,131.15,135.29,174.47,206.13,289.88,165.98,173.48,167.03,191.07,282.02,160.58,241.14,199.58,323.28
3.0,nondoc_or_doc_5lb_plus,144.57,159.04,201.54,228.2,329.54,193.18,195.44,194.3,221.21,300.72,183.5,286.67,230.15,376.62
4.0,nondoc_or_doc_5lb_plus,158.75,173.6,230.58,251.69,374.9,220.72,213.0,220.36,251.35,341.99,207.79,334.82,264.0,426.35
5.0,nondoc_or_doc_5lb_plus,170.53,193.03,262.54,267.75,415.0,263.04,250.51,244.75,274.96,373.3,212.02,378.52,295.51,475.85
6.0,nondoc_or_doc_5lb_plus,174.0,211.59,272.72,287.33,443.67,277.31,274.65,266.81,301.16,416.89,224.44,424.85,317.87,508.55
7.0,nondoc_or_doc_5lb_plus,179.46,230.11,287.94,312.94,472.19,291.3,293.93,288.93,327.6,455.32,233.63,468.99,342.87,539.5
8.0,nondoc_or_doc_5lb_plus,187.96,248.66,302.94,332.18,495.75,305.27,312.78,305.9,354.26,497.21,242.46,513.07,365.75,569.92
9.0,nondoc_or_doc_5lb_plus,194.83,260.81,309.3,351.41,519.45,307.52,329.86,317.45,380.55,545.12,251.38,555.34,388.04,600.13
10.0,nondoc_or_doc_5lb_plus,202.2,264.71,314.38,357.1,534.1,317.98,341.98,328.21,399.11,592.51,260.22,586.84,402.95,630.46
11.0,nondoc_or_doc_5lb_plus,212.13,275.9,329.99,377.11,573.69,333.52,365.25,343.3,425.16,640.35,274.47,627.5,428.16,672.03
12.0,nondoc_or_doc_5lb_plus,222.06,287.09,345.6,397.12,613.28,349.06,388.52,358.39,451.21,688.19,288.72,668.16,453.37,713.6
