G2,Ἀαρών
G5,ἀββά
G6,Ἅβελ
G7,Ἀβιά-2
G11,Ἀβραάμ
G12,ἄβυσσος
G13,Ἅγαβος
G14,ἀγαθοεργέω
G15,ἀγαθοποιέω
G18,ἀγαθός
G19,ἀγαθωσύνη
G25,ἀγαπάω
G26,ἀγάπη-2
G27,ἀγαπητός
G32,ἄγγελος
G37,ἁγιάζω-3
G38,ἁγιασμός
G40,ἅγιος-3
G42,ἁγιωσύνη
G45,ἄγκυρα
G48,ἁγνίζω
G53,ἁγνός
G54,ἁγνότης
G59,ἀγοράζω
G60,ἀγοραῖος
G76,Ἀδάμ
G79,ἀδελφή
G80,ἀδελφός
G81,ἀδελφότης
G86,ᾅδης
G91,ἀδικέω
G92,ἀδίκημα
G93,ἀδικία
G94,ἄδικος
G105,ἀετός
G111,ἀθέμιτος
G113,ἄθεσμος
G116,Ἀθῆναι
G124,Αἰγύπτιος
G125,Αἴγυπτος
G126,ἀΐδιος
G129,αἷμα
G165,εἰς αἰῶνα, εἰς τὸν αἰῶνα, εἰς τοὺς αἰῶνας, εἰς ἡμέραν αἰῶνος, εἰς τοὺς αἰῶνας τῶν αἰώνων, εἰς τὸν αἰῶνα τοῦ αἰῶνος, εἰς αἰῶνας αἰώνων, εἰς πάντας τοῦ αἰῶνας, τοῦ αἰῶνος τῶν αἰώνων
G166,αἰώνιος
G167,ἀκαθαρσία
G169,ἀκάθαρτος
G173,ἄκανθα
G174,ἀκάνθινος
G185,ἀκέραιος
G200,ἀκρίς
G203,ἀκροβυστία
G204,ἀκρογωνιαῖος
G207,Ἀκύλας
G211,ἀλάβαστρος
G218,ἀλείφω
G220,ἀλέκτωρ
G221,Ἀλεξανδρεύς
G222,Ἀλεξανδρῖνος
G223,Ἀλέξανδρος-5
G225,ἀλήθεια
G226,ἀληθεύω
G227,ἀληθής
G228,ἀληθινός
G230,ἀληθῶς
G254,ἅλυσις
G256,Ἁλφαῖος-2
G257,ἅλων
G258,ἀλώπηξ
G264,ἁμαρτάνω
G265,ἁμάρτημα
G266,ἁμαρτία
G268,ἁμαρτωλός
G273,ἄμεμπτος
G274,ἀμέμπτως
G278,ἀμεταμέλητος
G281,ἀμήν
G283,ἀμίαντος
G284,Ἀμιναδάβ
G286,ἀμνός
G288,ἄμπελος
G290,ἀμπελών
G299,ἄμωμος
G301,Ἀμώς
G350,ἀνακρίνω
G367,Ἁνανίας-3
G386,ἀνάστασις
G390,ἀναστρέφω
G391,ἀναστροφή
G406,Ἀνδρέας
G410,ἀνέγκλητος
G423,ἀνεπίλημπτος
G438,ἄνθος
G452,Ἅννας
G458,ἀνομία
G459,ἄνομος-2
G476,ἀντιδικος
G490,Ἀντιόχεια-2
G500,ἀντίχριστος
G505,ἀνυπόκριτος
G508,ἀνάγαιον
G513,ἀξίνη
G525,ἀπαλλάσσω
G569,ἀπιστέω
G570,ἀπιστία
G571,ἄπιστος
G582,ἀπογραφή
G583,ἀπογράφω
G593,ἀποδοκιμάζω
G596,ἀποθήκη
G604,ἀποκαταλλάσσω
G625,Ἀπολλῶς
G629,ἀπολύτρωσις
G630,ἀπολύω
G651,ἀποστολή
G652,ἀπόστολος
G656,ἀποσυναγωγος
G684,ἀπώλεια
G688,Ἀραβία
G692,ἀργός
G707,Ἁριμαθαία
G708,Ἀρίσταρχος
G716,ἅρμα
G721,ἀρνίον
G746,ἀρχή
G749,ἀρχιερεύς
G751,Ἄρχιππος
G752,ἀρχισυναγωγος
G758,ἄρχων-2
G759,ἄρωμα
G768,Ἀσήρ
G773,Ἀσία
G779,ἀσκός
G784,ἄσπιλος
G787,ἀσσάριον
G803,ἀσφάλεια
G804,ἀσφαλής
G806,ἀσφαλως
G832,αὐλέω
G833,αὐλή-2
G834,αὐλητής
G856,ἀφεδρών
G859,ἄφεσις
G862,ἀφθαρτος
G863,ἀφίημι
G866,ἀφιλαργυρος
G882,Ἀχαΐα
G892,ἄχυρον
G897,Βαβυλών
G903,Βαλαάμ
G905,βαλλάντιον
G907,βαπτίζω
G908,βάπτισμα
G909,βαπτισμός
G910,βαπτιστής
G912,Βαραββᾶς
G915,βάρβαρος
G918,Βαρθολομαῖος
G921,Βαρναβᾶς
G923,Βαρσαββᾶς-2
G932,βασιλεία
G935,βασιλεύς
G938,βασίλισσα
G942,βάτος
G946,βδέλυγμα
G952,βέβηλος
G953,βεβηλόω
G954,Βεελζεβούλ
G958,Βενιαμίν
G959,Βερνίκη
G963,Βηθανία-2
G965,Βηθλέεμ
G966,Βηθσαϊδά
G967,Βηθφαγή
G968,βῆμα
G975,βιβλίον
G976,βίβλος
G978,Βιθυνία
G979,βίος-3
G982,βιωτικός
G987,βλασφημέω
G988,βλασφημία
G989,βλάσφημος
G1003,Βόες
G1016,βοῦς
G1038,βυρσεύς
G1049,γαζοφυλάκιον-2
G1050,Γάϊος-4
G1053,Γαλατία
G1054,Γαλατικός
G1056,Γαλιλαία-2
G1057,Γαλιλαῖος
G1059,Γαμαλιήλ
G1062,γάμος
G1067,γέεννα
G1068,Γεθσημανί
G1082,Γεννησαρέτ-2
G1086,Γερασηνός
G1093,γῆ-4
G1101,γλωσσόκομον
G1115,Γολγοθᾶ
G1116,Γόμορρα
G1121,γράμμα
G1122,γραμματεύς-2
G1124,γραφή
G1125,γράφω
G1138,Δαυίδ
G1139,δαιμονίζομαι
G1140,δαιμόνιον
G1154,Δαμασκός
G1162,δέησις
G1179,Δεκάπολις
G1186,δένδρον
G1189,δέομαι
G1191,Δέρβη
G1193,δερμάτινος
G1199,δεσμός
G1201,δεσμωτήριον
G1214,Δημᾶς
G1216,Δημήτριος-2
G1220,δηνάριον
G1228,διάβολος-2
G1231,διαγινώσκω
G1238,διάδημα
G1242,διαθήκη
G1247,διακονέω
G1248,διακονία
G1249,διάκονος
